x,y
10.438092344,34.3522365652
13.6061374413,38.6920590867
31.882349319,79.5761837733
56.8420790062,134.189283818
25.6781924512,66.1241170804
60.2859482287,141.93693495
27.967825228,74.3137080807
88.3054090367,216.652758693
14.8460360872,40.9378500412
33.8931070266,88.4729109355
70.7272468622,170.994412893
92.9737280342,223.676237715
64.0403299348,156.278810316
13.6761326867,36.8772453867
29.0150304517,76.8540321191
4.94636040615,22.0177000424
82.0625288424,197.679563751
58.2093529442,140.145679235
34.779364786,85.1163224365
2.97924424912,20.2881651532
16.7100068224,51.4460311554
77.779381007,192.695199813
25.5149159606,62.1882762871
58.8524784787,145.543647988
